id,cau,optionA,optionB,optionC,optionD,optionE,dapan,giaithich
Chuong1_cau1,1. Người mang KST nhưng không có biểu hiện bệnh lý gọi là.,Vật chủ bị bệnh mạn tính.,Vật chủ có miễn dịch bảo vệ.,Vật chủ tình cờ.,Vật chủ phụ.,Vật chủ mang KST lạnh.,E,Người mang KST nhưng không có biểu hiện bệnh lý gọi là Vật chủ mang KST lạnh.
Chuong1_cau2,"2. Ăn rau sống không sạch, người có thể nhiễm các loại KST sau trừ.",Giun đũa.,Lỵ amip,Trùng roi đường sinh dục,Trùng lông,Giun tóc,C,Trùng roi đường sinh dục (Trichomonas vaginalis) lây qua đường giao hợp.
Chuong1_cau3,3. Bạch cầu ái toan thường không tăng khi người nhiễm loại KST.,Giardia intestinalis.,Ascaris lumbricoides.,Ancylostoma duodenale.,Toxocara canis.,Plasmodium falciparum,A,"Giardia intestinalis là đơn bào, thường không gây tăng bạch cầu ái toan đáng kể."
Chuong1_cau4,4. Loại KST có thể tự tăng sinh trong cơ thể người.,Giun tóc,Giun móc,Giun kim.,Giun chỉ.,Sán lá gan,C,Giun kim có cơ chế tự nhiễm (trứng từ hậu môn có thể quay ngược lên ruột).
Chuong1_cau5,"5. Trong chu kỳ của sán dây lợn, người có thể là.",Vật chủ chính.,Vật chủ tình cờ,Vật chủ phụ,A và C đều đúng.,A và B đúng.,D,Người có thể là Vật chủ chính hoặc Vật chủ phụ (khi ăn trứng sán dây lợn).
Chuong1_cau6,6. Sinh vật nào sau đây không phải là KST.,Muỗi cái.,Ruồi nhà,Ve,Con ghẻ,Bọ chét.,B,Ruồi nhà (Musca domestica) không phải là KST.
Chuong1_cau7,7. Bệnh KST phổ biến nhất ở Việt Nam.,Giun kim.,Sốt rét,Giun móc,Giun đũa,Amip.,D,Giun đũa là bệnh KST phổ biến nhất ở Việt Nam.
Chuong1_cau8,8. Tác hại hay gặp nhất do KST gây ra.,Thiếu máu.,Đau bụng,Mất sinh chất,Biến chứng nội khoa,Tất cả các đều đúng.,C,Tác hại hay gặp nhất do KST gây ra là Mất sinh chất.
Chuong1_cau9,9. Ảnh hưởng qua lại giữa KST và vật chủ trong quá trình ký sinh dẫn đến các kết quả sau trừ.,KST bị tiêu diệt.,Vật chủ chết.,Bệnh KST có tính chất cơ hội.,Cùng tồn tại với vật chủ.,A và B đúng.,C,[Không tìm thấy giải thích rõ trong nguồn].
Chuong1_cau10,10. Bệnh KST có các đặc diểm sau ngoại trừ.,Bệnh KST phổ biến theo vùng,Có thời hạn,Bệnh khởi phát rầm rộ.,Lâu dài,Vận chuyển mầm bệnh.,C,"Bệnh KST thường diễn biến âm thầm, lặng lẽ, không khởi phát rầm rộ."
Chuong1_cau11,11. Người mang KST nhưng không có biểu hiện bệnh lý được gọi là.,Ký chủ vĩnh viễn.,Ký chủ chính,Ký chủ trung gian,Ký chủ chờ thời,Người lành mang mầm bệnh,E,Người mang KST không có biểu hiện bệnh lý gọi là Người lành mang mầm bệnh.
Chuong1_cau12,12. Ký sinh trùng là.,Một sinh vật sống.,Trong qúa trình sống nhờ vào các sinh vật khác đang sống.,Quá trình sống sử dụng các chất dinh dưỡng của sinh vật khác để phát triển và duy trì sự sống.,A và B đúng.,"A, B, và C đúng.",E,"Ký sinh trùng là sinh vật sống, sống nhờ vào sinh vật đang sống, sử dụng chất dinh dưỡng để phát triển và duy trì sự sống."
