id,cau,optionA,optionB,optionC,optionD,optionE,dapan,giaithich
Chuong2-1-cau1,1. Chu trình không sinh bệnh của E.histolytica có thể chuyển thành chu trùnh sinh bệnh gây bệnh lỵ amip khi bệnh nhân bị giảm sức đề kháng cơ thể.,Đúng,Sai,,,,A,Chu trình không sinh bệnh (thể minuta) của Entamoeba histolytica có thể chuyển thành sinh bệnh (thể histolytica) khi sức đề kháng cơ thể giảm.
Chuong2-1-cau2,2. Entamoeba coli là một đơn bào.,Không gây bệnh sống hoại sinh trong ruột già.,Gây bệnh kiết lỵ.,Gây tiêu chảy xen kẻ với bón.,"Gây vàng da, tắc mật.",Viêm đại tràng mạn.,A,"Entamoeba coli là amip hội sinh, không gây bệnh, sống trong ruột già."
Chuong2-1-cau3,3. Bào nang Entamoeba coli là .,Thể lây lan.,Gây bệnh tiêu chảy.,Gây bệnh khi có điều kiện thuận lợi.,Gây bệnh kiết lỵ.,Gây bệnh ở trẻ nhỏ suy dinh dưỡng.,A,"Bào nang là thể có vỏ dày, là thể lây nhiễm của KST ruột."
Chuong2-1-cau4,4. Thực phẩm của E. coli là.,Hồng cầu.,Vi khuẩn cặn bã trong ruột.,Không cần thực phẩm.,Chất tiết của tế bào.,Dưỡng chất trong ruột non.,B,"Entamoeba coli là amip hội sinh, thực phẩm của nó là vi khuẩn và cặn bã trong ruột."
Chuong2-1-cau5,5. Sự hiện diện của bào nang E.coli trong môi trường .,Không đáng quan tâm vì không gây bệnh,Báo hiệu dịch không xãy ra.,Cho biết môi sinh không đáng lo ngại .,Nói lên tình trạng ô nhiễm môi sinh.,Là chỉ số đánh giá dịch bệnh.,D,Sự hiện diện của các amip hội sinh như E. coli thường nói lên tình trạng ô nhiễm môi sinh.
Chuong2-1-cau6,6. E.histolytica thường gây abces ở .,Ruột non.,Gan.,Não.,Phổi,Lách.,B,E. histolytica thường gây abces gan do là biến chứng thường gặp nhất.
Chuong2-1-cau7,"7. Ở Việt Nam, loại đơn bào nguy hiểm nhất trong số các loại sau là.",Entamoeba harmani,Balantidium coli.,Trichomonas vaginalis,Entamoeba histolytica.,Entamoeba coli.,D,Entamoeba histolytica là amip gây bệnh quan trọng nhất ở người.
Chuong2-1-cau8,"8. Trong bệnh lỵ amip, nếu phân có máu, nhầy phải chú ý tìm gì?",Vi khuẩn đường ruột,Bào nang Giardia lamblia,Trứng giun kim,Thể hoạt động của Entamoeba histolytica,,D,"Trong lỵ amip cấp tính (phân nhầy máu), thể hoạt động ăn hồng cầu của Entamoeba histolytica là hình ảnh đặc trưng."
Chuong2-1-cau9,9. Người bị bệnh amip chủ yếu là do nuốt phải gì?,Bào nang của Entamoeba histolytica,Thể hoạt động của Balantidium coli,Trứng của giun móc,Vi khuẩn Shigella,,A,Bệnh lỵ amip lây truyền do nuốt phải bào nang của Entamoeba histolytica.
Chuong2-1-cau10,10. Xét nghiệm phân tìm thể hoạt động của đơn bào thì dùng phương pháp nào?,Kỹ thuật Kato-Katz,Phản ứng ELISA,Soi tươi bằng dung dịch sinh lý (trực tiếp),Nhuộm Ziehl-Neelsen,,C,"Thể hoạt động của đơn bào rất nhạy cảm và dễ bị hủy hoại, cần được soi tươi trực tiếp bằng dung dịch sinh lý ngay lập tức."
Chuong2-1-cau11,"11. Trong chẩn đoán bệnh lỵ amip, cần chẩn đoán phân biệt với bệnh nào sau đây?",Sốt rét,Viêm gan siêu vi,Lỵ trực trùng,Lao ruột,,C,Lỵ amip cần được chẩn đoán phân biệt với lỵ trực trùng.
Chuong2-1-cau12,12. Thể hoạt động của Entamoeba histolytica .,Sống được ở nhiệt độ ngoài trời.,Dễ bị huỷ hoại bởi nhiệt độ bên ngoài cơ thể.,"Có nhân thể ở giữa nhân, không có chân giả.",Là thể gây nhiễm.,Có thể lây từ người này sang người khác.,B,Thể hoạt động rất nhạy cảm và dễ bị hủy hoại ngoài môi trường cơ thể.
