id,cau,optionA,optionB,optionC,optionD,optionE,dapan,giaithich,
Chuong2-3-cau1,1. Ba biểu hiện chính của bệnh gây ra do Giardia lamblia.,"Đi chảy, thiếu máu, suy dinh dưỡng","Đi chảy, đau bụng, sình bụng","Thiếu máu, suy dinh dưỡng, suy nhược cơ thể","Suy dinh dưỡng, trí tuệ phát triển chậm, đau bụng đi chảy","Đau bụng, sình bụng, suy dinh dưỡng",E,"Triệu chứng phổ biến của Giardia lamblia là đau bụng, sình bụng và suy dinh dưỡng.",
Chuong2-3-cau2,2. Giardia lamblia sống ở,"Manh tràng, hồi tràng","Tá tràng, manh tràng","Tá tràng, hổng tràng",Hổng tràng và hồi tràng,Ruột non và ruột già,C,"Giardia lamblia sống chủ yếu ở tá tràng và hổng tràng (đoạn đầu ruột non) [1, 2].",
Chuong2-3-cau3,3. Trichomonas vaginalis thường gặp ở,Trẻ em nhỏ,Phụ nữ lứa tổi sinh đẻ,Phụ nữ mãn kinh,Nam giới,Đường tiết niệu nam,B,"Trichomonas vaginalis phổ biến ở phụ nữ lứa tuổi sinh đẻ (hoạt động tình dục) [1, 3].",
Chuong2-3-cau4,4. Đơn bào thường gây suy dinh dưỡng và thiếu máu ở trẻ em,Entamoeba coli,Entamoeba histolytica,Trichomonas intestinalis,Giardia lamblia,Balantidium coli,D,"Giardia lamblia gây kém hấp thu, dẫn đến suy dinh dưỡng và thiếu máu [3, 4].",
Chuong2-3-cau5,5. Đơn bào di chuyển bằng roi,Entamoeba coli,Entamoeba histolytica,Balantidium coli,Giardia lamblia,Plasmodium,D,"Giardia lamblia thuộc lớp trùng roi, di chuyển bằng roi [2, 3].",
Chuong2-3-cau6,6. Đơn bào di chuyển bằng lông,Entamoeba coli,Entamoeba histolytica,Balantidium coli,Giardia lamblia,Plasmodium,C,"Balantidium coli thuộc lớp trùng lông, di chuyển bằng lông [3, 5].",
Chuong2-3-cau7,7. Chẩn đoán Giardia lamblia,Xét nghiệm phân trực tiếp,Phương pháp miễn dịch,Phương pháp xét nghiệm phân phong phú Williss,Phương pháp lắng cặn,Nuôi cấy,A,Xét nghiệm phân trực tiếp là phương pháp cơ bản để chẩn đoán Giardia lamblia [6].,
Chuong2-3-cau8,8. Chẩn đoán Trichomonas vaginalis,Xét nghiệm phân trực tiếp,Phương pháp miễn dịch,Phương pháp xét nghiệm phân phong phú Williss,Xét nghiệm khí hư,Xét nghiệm dịch tá tràng,D,Chẩn đoán Trichomonas vaginalis ở nữ giới chủ yếu là xét nghiệm khí hư (huyết trắng) [6].,
Chuong2-3-cau9,9. Chẩn đoán Balantidium coli,Xét nghiệm phân trực tiếp,Phương pháp phong phú,Xét nghiệm dịch tá tràng,Phương pháp miễn dịch,Xét nghiệm khí hư,A,Chẩn đoán Balantidium coli thường bằng xét nghiệm phân trực tiếp tìm thể hoạt động/bào nang [6].,
Chuong2-3-cau10,10. Lây nhiễm của Trichomonas vaginalis,Qua đường sinh dục,Qua đường tiêu hoá,Qua đường tiêm chích,Qua muỗi đốt,Qua da,A,"Trichomonas vaginalis lây truyền chủ yếu qua quan hệ tình dục (đường sinh dục) [7, 8].",
Chuong2-3-cau11,11. Lây nhiễm của Giardia lamblia,Qua đường sinh dục,Qua đường tiêu hoá,Qua đường tiêm chích,Qua muỗi đốt,Qua da,B,Giardia lamblia lây truyền do nuốt bào nang qua đường tiêu hoá [7].,
Chuong2-3-cau12,12. Lây nhiễm của Balantidium coli,Qua đường sinh dục,Qua đường tiêu hoá,Qua đường tiêm chích,Qua muỗi đốt,Qua da,B,Balantidium coli lây truyền do nuốt bào nang qua đường tiêu hoá [7].,
Chuong2-3-cau13,13. Trùng lông ký sinh ở,Đại tràng,Ruột non,Cuối ruột non và manh tràng,Đường sinh dục,Đường tiết niệu,A,Trùng lông (Balantidium coli) ký sinh chủ yếu ở đại tràng [7].,
Chuong2-3-cau14,14. Để tìm kén các loại đơn bào đường tiêu hoá nên,Nhuộm bằng Giemsa,P xét nghiệm phân phong phú,Nhuộm bằng Lugol kép,Phương pháp KaTo,Phương pháp miễn dịch,C,Nhuộm bằng Lugol kép (iodine) giúp nhìn rõ hình thái kén (bào nang) [9].,
Chuong2-3-cau15,15. Phụ nữ có khí hư có thể do các tác nhân sau trừ .,Trichomonas intestinalis,Trichomonas vaginalis,Candia albicans,Vi khuẩn,Khí hư sinh lý.,A,"Trichomonas intestinalis ký sinh ở ruột già, không liên quan đến khí hư âm đạo [9, 10].",
Chuong2-3-cau16,16. Trùng roi thìa Giardia lamblia gây ra các tác hại sau đây trừ.,Viêm ruột xuất tiết,"Trong phân có máu, nhầy",Không hấp thu được sinh tố B12 và acid folic,"Trẻ em chán ăn, sình bụng","Không hấp thu được đường, mỡ thịt",B,"Giardia lamblia không gây tổn thương sâu niêm mạc ruột nên không gây phân có máu, nhầy (hội chứng lỵ) [9].",
Chuong2-3-cau17,17. Trùng roi âm đạo có mặt ở các nơi này trừ,Bể thận,Niệu đạo,Tiền liệt tuyến,Túi mật,Bàng quang,D,"Trichomonas vaginalis ký sinh ở đường niệu dục, không ở túi mật [11].",
Chuong2-3-cau18,18. Nhiễm trùng roi thìa là do,ăn phải thể hoạt động của trùng roi thìa,ăn phải bào nang của trùng roi thìa,do chuột cắn,do muỗi đốt,ăn thịt bò sống,B,Nhiễm trùng roi thìa (G. lamblia) là do ăn phải bào nang của trùng roi thìa [11].,
Chuong2-3-cau19,19. Nhiễm trùng lông đại tràng Balantidium coli là do,ăn phải thể hoạt động của B.coli,ăn phải bào nang của B.coli,do lợn bị nhiễm B.coli cắn,ăn thịt lợn nhiễm B.coli,Balantidium coli vào người qua da,B,Nhiễm Balantidium coli là do ăn phải bào nang của B.coli [11].,
Chuong2-3-cau20,20. Ruồi có thể là vật chủ trung gian truyền bệnh trong các bệnh sau đây trừ.,Bệnh giun đũa,Bệnh giun tóc,Bệnh do Giardia lamblia,Bệnh do Trichomonas vaginalis,Bệnh do Entamoeba histolytica,D,"Trichomonas vaginalis lây trực tiếp qua đường tình dục, không phải do ruồi truyền [8, 12].",
Chuong2-3-cau21,21. Những tác hại sau đâydo độc tố của Giardia lamblia gây ra trừ,Ngăn cản sự hấp thu sinh tố B12,Ngăn cản sự hấp thu đường,Ngăn cản sự hấp thu mỡ,Ngăn cản sự hấp thu thịt,Ngăn cản sự hấp thu muối khoáng,D,"Giardia lamblia cản trở hấp thu các chất béo, carbohydrate, B12, nhưng không trực tiếp ngăn cản hấp thu thịt [12].",
